[2026-04-29 01:34:45.402] 🔔 ALERT | Node: 4:780c17d1-7f06-49dd-bb22-573b2c7a4be0:15 (Domain) | Value: 4ac2584e.databases.neo4j.io | Risk: low (Score: 0) | Decision: ALLOW
[2026-04-29 01:35:19.792] 🔔 ALERT | Node: 4:780c17d1-7f06-49dd-bb22-573b2c7a4be0:56 (Domain) | Value: drivefrontend-pa.clients6.google.com | Risk: low (Score: 0) | Decision: ALLOW
[2026-04-29 01:35:22.676] 🔔 ALERT | Node: 4:780c17d1-7f06-49dd-bb22-573b2c7a4be0:456 (Domain) | Value: crl3.digicert.com | Risk: low (Score: 0) | Decision: ALLOW
[2026-04-29 01:35:31.246] 🔔 ALERT | Node: 4:780c17d1-7f06-49dd-bb22-573b2c7a4be0:457 (URL) | Value: http://crl3.digicert.com/DigiCertTrustedG4CodeSigningRSA4096SHA2562021CA1.crl | Risk: low (Score: 15) | Decision: ALLOW
[2026-04-29 01:39:44.270] 🔔 ALERT | Node: 4:780c17d1-7f06-49dd-bb22-573b2c7a4be0:458 (Domain) | Value: edge-chat.facebook.com | Risk: low (Score: 0) | Decision: ALLOW
[2026-04-29 01:40:45.569] 🔔 ALERT | Node: 4:780c17d1-7f06-49dd-bb22-573b2c7a4be0:459 (Domain) | Value: outlook.office365.com | Risk: low (Score: 0) | Decision: ALLOW
[2026-04-29 01:41:08.166] 🔔 ALERT | Node: 4:780c17d1-7f06-49dd-bb22-573b2c7a4be0:423 (Domain) | Value: e2c75.gcp.gvt2.com | Risk: low (Score: 0) | Decision: ALLOW
[2026-04-29 01:41:33.233] 🔔 ALERT | Node: 4:780c17d1-7f06-49dd-bb22-573b2c7a4be0:460 (Domain) | Value: mtalk.google.com | Risk: low (Score: 0) | Decision: ALLOW
[2026-04-29 01:42:18.840] 🔔 ALERT | Node: 4:780c17d1-7f06-49dd-bb22-573b2c7a4be0:444 (Domain) | Value: gemini.google.com | Risk: low (Score: 0) | Decision: ALLOW
[2026-04-29 01:42:33.268] 🔔 ALERT | Node: 4:780c17d1-7f06-49dd-bb22-573b2c7a4be0:379 (IPAddress) | Value: 192.168.48.86 | Risk: medium (Score: 40) | Decision: MONITOR
[2026-04-29 01:43:31.545] 🔔 ALERT | Node: 4:780c17d1-7f06-49dd-bb22-573b2c7a4be0:423 (Domain) | Value: e2c75.gcp.gvt2.com | Risk: low (Score: 0) | Decision: ALLOW
